,S.NO.,Gender,Age,"Do you chalk your success up to fates, luck or
error?","Many times, you feel crushed by constructive criticism, seeing it as evidence of your ""ineptness""?","Do you believe ""If I can do it, anybody can""?",Do you agonize over the smallest flaws in your work?,Do you believe that everything you do must be completely perfect?,"In rare cases you feel crushed by constructive criticism, seeing it evidence of your ""ineptness""?",Do you feel incompetent despite attaining success?,You compare your abilities to people around you and think that others may be more intelligent than you.,You blame your luck for success rather than hard work,Do you think shortcut to success makes you smarter,You have doubts about your abilities despite people around you trusting you.,Do you often fear not meeting other people's expectations?,I am a perfectionist,Do you feel like a non-valuable member of the family if you don't participate in domestic work?,"""I have to be good at a particular activity to enjoy it"" (As in, if you picked up a new hobby like painting, the only way you feel good about doing it is if you are using perfect techniques and doing it the ""right"" way)",I believe that means is more important than the ends,"When people compliment you, you think you are not as accomplished as they think",Most of your success has been a stroke of luck,You have an above-average IQ score,Your emotional quotient is better than your general IQ score,You downplay compliments from others.,Do you feel like an unimportant family member if you don't involve in decision-making process?,Which places do you think you can be yourself without being judged?,comfort.home,comfort.college,comfort.friends,comfort.work,comfort.online,comfort.alterego,What places do you think you pretend to be someone you are not?,"At least 70% of individuals have dissatisfaction in their lives. Women mostly face self-image issues and in men, it is driven by the fear of not being successful or letting people down. Do you agree with this? And in your experience, how have you seen variances to the mentioned scenarios?","As the campus has reopened after conducting classes, examinations, and project reviews online over the past 2 years, do you feel that this might bring up changes in confidence levels, due to the adjustments which may have arisen doubts in self-esteem from the initial change of method?"
117,118,F,19,A,N,N,SD,SD,N,D,A,D,A,A,D,SD,N,SD,A,SA,D,N,A,SA,A,"HOME, WITH FRIENDS",100,100.0,100.0,,90,,ONLINE,I PERSONALLY DON'T AGREE AS I DON'T THINK WE SHOULD COMPARE OURSELVES TO OTHERS.,"YES, I THINK IT MIGHT BE DIFFERENT INITIALLY FOR PEOPLE TO COPE BUT THEY'LL ADJUST IN A WHILE"
118,119,F,20,D,SD,A,N,SD,SD,A,A,D,SD,N,A,N,A,N,A,A,N,A,SA,A,SA,ONLINE,75,90.0,90.0,70.0,80,100,"HOME, COLLEGE, WITH WORK, ONLINE","I THINK SELF-IMAGE ISSUES OCCUR IN PEOPLE WHO RANK THEMSELVES, COMPARED TO OTHERS. I EXPERIENCED A DECREASE IN SELF IMAGE ISSUE WHEN I STOPPED DOING THAT",YES. I THINK THE CONFIDENCE REQUIRED TO MAKE EYE CONTACT WITH PEOPLE AND SPEAK TO CROWDS IS AN UNMATCHED EXPERIENCE THAT WILL BOOST EVERYONE'S CONFIDENCE
119,120,F,20,A,A,SA,A,N,A,A,A,D,D,A,A,D,D,D,N,A,D,A,N,A,A,"HOME, ONLINE ",100,60.0,70.0,40.0,90,40,"COLLEGE, WORK","YES, IN COLLEGE ITSELF, THE FEAR OF NOT BEING ACCEPTED CAUSES DISSATISFACTION","YES, I DO FEEL THAT IS CORRECT. EXAMPLE, FOR REVIEWS, IN ONLINE MODE, WE DO NOT HAVE TO FACE PEOPLE BUT IN OFFLINE, WE HAVE TO PRESENT IN FRONT OF  CROWD"
120,121,F,20,N,A,SA,N,A,N,A,SA,SD,SD,SA,SA,N,SD,SA,N,SA,SD,D,N,N,SD,"HOME, ONLINE ",100,75.0,75.0,75.0,100,100,NOWHERE,"YES, WORST OF ALL IS LETTING YOURSELF DOWN",YES
121,122,F,19,N,A,D,A,A,N,D,A,D,SD,A,SA,N,SD,D,A,A,D,N,D,N,SD,"HOME, WITH FRIENDS",90,80.0,90.0,,80,,NOWHERE,"YES, I DO AGREE WITH THIS. PEOPLE ALWAYS WANT MORE, AND ARE NEVER SATISFIED","YES, PEOPLE MIGHT FIND IT DIFFICULT TO ADJUST"
122,123,F,20,N,N,A,N,A,D,N,A,SD,D,N,SA,A,A,A,A,A,D,N,SA,N,SA,WITH FRIENDS,90,85.0,98.0,70.0,70,70,ONLINE,STRONGLY AGREE. I WERE JUDGED BY MY RACIAL AND BODY WEIGHT,YES. IT WILL TAKE SOME AMOUNT OF TIME TO OVERCOME THIS. BUT WE CAN BE BACK TO NORMAL LIFE AND BUILD CONFIDENCE AMONG OURSELF
123,124,F,20,SA,A,A,N,A,A,A,SA,SA,D,SA,N,A,D,SD,SA,A,SD,D,A,A,SD,ONLINE,80,60.0,90.0,60.0,95,,"COLLEGE, WORK","WOMEN MOSTLY FEEL THESE TYPES OF ISSUES AT WORK PLACE AS THE CONSTANT NEED TO PROVE THEMSELVES WORTHY OF ASPECTS LIKE INCOME, APPRAISAL ETC.","YES, IF MIGHT HAVE A HUGE IMPACT ESPECIALLY TO PEOPLE WHO ARE INTROVERTS AS THEY WOULD NOT BE ABLE TO FEEL THE ACTIVENESS AND EGERNESS IN OFFLINE ENVIRONMENT AND MIGHT BECOME SHY AND QUIET"
124,125,F,21,D,A,D,SA,SA,SA,SA,SA,SD,SD,SA,SA,SA,D,SD,N,SA,SD,SA,D,SA,D,"HOME, COLLEGE, WITH FRIENDS, ONLINE",75,75.0,100.0,,60,,HOME,"YES, ALTHOUGH NOT DEPENDANT ON GENDER, INSECURITIES CAN CAUSE SELF ESTEEM ISSUES",NO
125,126,M,20,N,A,A,,D,N,A,A,,SA,D,A,N,D,A,SA,A,N,A,A,N,N,HOME,100,90.0,10.0,75.0,80,70,,I HAVE THE FEAR OF NOT BEING SUCCESSFUL OR GETTING A JOB INCREASE,YES
126,127,M,20,D,N,D,A,N,N,D,A,N,D,A,A,A,SD,A,N,A,D,A,D,N,SD,WITH FRIENDS,100,60.0,95.0,75.0,90,50,YES,YES,YES
127,128,M,19,N,A,D,N,N,A,A,A,A,D,A,A,N,A,A,A,N,N,A,A,N,N,"HOME, WITH FRIENDS",40,15.0,30.0,5.0,10,,,YES,YES
128,129,M,20,D,D,SD,N,N,A,SA,N,D,SD,A,N,A,D,A,N,N,D,A,N,A,D,"HOME, WITH FRIENDS",75,75.0,90.0,75.0,75,75,NOWHERE,YES,YES
129,130,M,20,A,SD,A,N,N,D,N,SA,D,A,N,D,SA,SD,D,A,A,SD,A,SA,SA,SD,HOME,98,54.0,78.0,63.0,42,70,ONLINE,"YES, SOCIAL MEDIA IS ONE OF THE BIGGEST REASON WHY PEOPLE FEEL THAT WAY","YES, THE WORLD IS TURNING TO METAVERSE WHICH IS BOOSTING SUCH SCENARIOS"
130,131,M,19,N,N,A,N,D,N,A,A,D,N,SA,SA,D,N,N,A,A,N,A,N,A,N,WITH FRIENDS,50,70.0,90.0,50.0,70,80,WORK,"YES, I AGREE WITH THIS","NEUTRAL, SOME PEOPLE TEND TO BE MORE CONFIDENT WHEN THEY ARE PRESENTING ANONYMOUSLY AND SOME PEOPLE FEEL MORE CONFIDENT WHEN THEY ARE IN A GROUP"
131,132,M,19,A,D,N,SD,N,N,N,A,A,A,N,A,D,A,SD,N,A,D,SA,SA,SA,D,,30,5.0,30.0,5.0,20,10,WORK,,"YES, SINCE THE OPENING OF CAMPUS, SOCIALIZING WITH PEOPLE EXPOSES OUR WEAKNESSES AND CN LEAD TO FEELING INEPT IN CERTAIN FIELDS COMPARED TO OTHERS. SO SELF ESTEEM HAS BEEN SLIGHTLY AFFECTED."
132,133,M,20,N,N,D,A,N,A,D,N,D,A,D,N,N,D,A,A,A,D,N,N,N,D,"HOME, WITH FRIENDS, ONLINE",100,75.0,100.0,75.0,95,50,WORK,"YES, MANY OF INDIVIDUALS HAVE DISSATISFACTION IN THEIR LIVES AS THEY PRETEND TO BE SOMEONE THEY ARE NOT","YES, IT MAY BRING SOME CHANGES IN CONFIDENCE LEVELS OF INDIVIDUALS"
133,134,M,20,A,D,SA,A,SA,SA,A,SD,A,SD,N,SA,SA,SD,D,SD,SA,SA,SA,N,SA,A,"HOME, COLLEGE, WITH FRIENDS, WORK ",100,100.0,100.0,100.0,70,70,NOWHERE,I AGREE. I SEE PEOPLE PRETEND TO BE SOMEONE ELSE WHILE THEY ARE AN UTTER FAILURE IN LIFE,"YES, PEOPLE COULD TALK SHIT ONLINE BUT THEY NEED TO HAVE THE COURAGE AND CONFIDENCE TO SAY THESE THINGS FREELY"
134,135,M,20,N,D,SA,A,A,D,N,A,D,D,D,SD,D,D,A,A,A,SA,A,SA,N,SA,"HOME, COLLEGE, WITH FRIENDS, WORK, ONLINE",100,100.0,100.0,70.0,50,50,ONLINE,I AGREE,YES
135,136,M,20,SD,D,D,A,N,N,A,D,N,A,N,D,N,SA,A,D,D,D,A,N,N,N,"HOME, ONLINE ",90,70.0,70.0,80.0,90,10,NOWHERE,I DO AGREE WITH THE ABOVE STATEMENT. I HAVE FEMALE FRIENDS WHO DOUBT THEMSELVES AND LOOK DOWN UPON THEMSELVES EVEN THOUGH THEY ARE WELL ENOUGH. AND I MYSELF HAVE A HUGE FEAR OF NOT BEING SUCCESSFUL,"FOE ME PERSONALLY, MY SELF ESTEEM HAS RISEN DURING ONLINE CLASS PERIOD AS I WAS ABLE TO EXPLORE MY INTEREST, UNDERSTAND WHAT I COULD DO AND GOT TIME FOR THAT. I DID 2 INTERNSHIPS AND 5 MAJOR MACHINE LEARNING PROJECTS. SO I SAY THAT HAVING ONLINE CLASSES WAS A BOON FOR ME"
136,137,M,21,N,A,SD,N,SD,N,A,A,N,SD,D,SA,N,SD,SD,SA,D,A,A,SA,N,SD,"HOME, WITH FRIENDS",70,50.0,90.0,60.0,80,30,HOME,"YES I AGREE WITH THIS, BOTHE MEN AND WOMEN FACE SOME ISSUES IN SOCIETY WE HAVE, IF WE GO TO THE 60% OF RURAL INDIA, ONE WILL BE SHOCKED THE DISCRIMINATION, THE HARSH LIFE, THE PROBLEMS WOMEN FACE THERE, SAME CAN BE SAID IN URBAN CITIES, IN WORK PLACES. ALSO MEN ARE SEEN WITH DISCRIMINATION WHEN IT ARISES TO WEDDINGS AND ALL.","YES, OFFLINE CLASSES AND PHYSICAL INTERACTION IS FAR BETTER THAN TALKING TO PEOPLE ONLINE. DEFINITELY IT EILL BOOST CONFIDENCE LEVELS AS THE STUDENTS WILL BE INTERACTING MUCH MORE AND IN A BETTER WAY "
137,138,M,20,D,N,A,N,A,D,D,N,D,D,D,N,N,A,N,A,D,SD,N,N,D,N,"HOME, WITH FRIENDS",85,70.0,90.0,65.0,60,0,NOWHERE,I AGREE WITH THE ABOVE STATEMENT,I BELIEVE IF THE PERSON HAS WORKED ON HIS/HER PROJECT THEN HE/SHE SHOULD BE FINE ADJUSTING TO THE CHANGE
138,139,F,20,A,D,A,SD,N,D,D,SA,D,SD,A,SD,D,SD,D,SA,A,SD,SA,N,A,SD,"HOME, WITH FRIENDS",100,70.0,90.0,60.0,50,50,ONLINE,"YES, I HAVE SEEN THAT MEN USUALLY LIVE UPTO AND CAN FEEL THAT THEY ARE LETTING DOWN SOMEONE IF THEY DON'T ACT TO THE LEVEL EXPECTED","YES, IT WILL DEFINITELY BRING UP SOME CHANGES IN THE CONFIDENCE LEVELS. A FEW PEOPLE MAY HAVE BECOME MORE SHY, A FEW MY HAVE OPENED UP. I FEEL I FALL IN THE LATTER CATEGORY"
139,140,F,20,D,D,A,D,D,N,SD,D,D,D,D,SD,A,A,D,N,D,D,A,N,N,A,"HOME, WITH FRIENDS",100,98.0,100.0,96.0,92,90,NOWHERE,"THESE STATISTICS SEEM APPROPRIATE, HOWEVER THERE COULD BE MANY OTHER REASONS WHY MEN AND WOMEN ARE DISSATISFIED IN LIFE. I AGREE TO THIS TOWARDS A CERTAIN EXTENT","YES, DUE TO EVERYTHING BEING ONLINE FOR THE PAST 2 YEARS, PEOPLE HAVE BECOME MORE INTROVERTED. BEING AROUND TOO MANY PEOPLE ALL OF A SUDDEN CAN CAUSE ANXIETY ISSUES IN SOME PEOPLE."
140,141,F,20,N,A,N,D,A,D,D,SA,SD,N,D,SA,D,N,D,SA,N,SD,A,SA,N,D,NOWHERE,70,65.0,60.0,50.0,50,60,NOWHERE,"YES, I AGREE WITH THIS POINT. DISSATISFACTION IS A RESULT OF NOT MEETING ONESELF EXPECTATIONS. WOMEN ARE BEING EXPECTED. SO I AGREE.",THIS MIGHT BRING UP POSITIVE CHANGES IN MY CONFIDENCE LEVELS AND HELP IN INCREASE IN MY SELF ESTEEM AFTER INTERACTION SOCIAL
141,142,F,20,N,SA,SA,A,SA,N,SA,SA,N,SD,SA,SA,N,N,N,N,SA,N,SD,SA,SD,N,NOWHERE,70,10.0,10.0,10.0,50,,COLLEGE,"YES, I DO AGREE WITH IT PEOPLE NOWDAYS IN SEARCH OF MAINTAINING THEIR SO CALLED SOCIAL LIFES AND PRETENDING TO BE SOMEONE IT HAS MADE THEMSELVES DISSATISFACTION",YES IT HAS AFFECTED THE CONFIDENCE LEVELS BECAUSE IN ONLINE MODE WE DIDN'T HAVE TO SHOW OUR FACE AND THOUGHT OF JUDGING WANT THEN THERE BUT IN OFFLINE MODE ITS QUITE DIFFICULT TO COPE UP WITH EVERYTHING
142,143,F,21,A,N,A,SA,SA,D,A,SA,A,N,SA,SA,A,SA,SA,N,SA,A,A,SA,A,SA,NOWHERE,80,70.0,60.0,30.0,50,90,NOWHERE,"I AGREE WITH THIS STATEMENT. WOMEN TEND TO BE BROUGHT UP FEELING LIKE THEY DON'T BELONG IN THE ""MAN'S WORLD"". NOT JUST MEN, BUT WOMEN ARE DRIVEN WITH FEAR OF LETTING PEOPLE DOWN, HOWEVER, IT IS NOT IN THE CAPITALIZED WAY WE PERCIEVE BUT RATHER ABOUT FAMILY AND SOCIETY'S EXPECTATIONS FROM THEM AS WOMEN","PERSONALLY, ALWAYS AHD SELF ESTEEM DOUBTS. I THINK BEING AMONG  PEERS WHO ARE PROBABLY GOING THROUGH SOME ISSUES, IT'LL BE BETTER OFFLINE"
143,144,F,20,D,N,A,N,SA,A,D,A,A,SD,A,SA,A,D,A,A,A,D,N,N,D,D,"HOME, WITH FRIENDS",100,80.0,90.0,70.0,80,,NOWHERE,"YES, I AGREE WITH THIS. IN TODAY'S WORLD EVEN WOMEN WEEL INSECURE OF NOT BEING SUCCESSFUL",YES. BEING IN CAMPUS WILL GIVE YOU MORE CONFIDENCE THAN IN ONLINE CLASSES
144,145,F,20,D,A,N,A,A,D,A,D,A,D,A,A,N,N,A,A,A,SD,A,D,A,N,"HOME, WITH FRIENDS",90,50.0,75.0,70.0,40,70,ONLINE,I THINK I DO HAVE LESS SELF CONFIDENCE AS I ALWAYS FEAR OF WHAT OTHER PEOPLE THINK ABOUT ME,"YES, I AM AN INTRIVERT SO ONLINE CLASSES ABD REVIEWS WERE A BOON FOR ME. BUT NOW I HAVE TO INTERACT WITH OTHERS FACE-TO-FACE"
145,146,M,20,N,A,SA,A,D,A,A,N,D,N,N,SD,D,A,N,SD,N,N,A,A,A,A,"HOME, WITH FRIENDS",100,75.0,80.0,60.0,70,100,"WORK, ONLINE",YES,"FOR ME PERSONALLY, I DON'T THINK SO"
146,147,M,20,D,SA,A,N,A,A,A,A,N,SA,A,N,A,A,SA,A,N,D,A,N,N,A,NOWHERE,80,60.0,85.0,,90,,COLLEGE,"YES,I DO AGREE WITH THIS",YES
147,148,F,20,SD,N,D,A,N,A,D,A,D,D,A,A,N,D,D,D,D,D,N,A,D,A,COLLEGE,95,50.0,50.0,90.0,90,80,WITH FRIENDS,"I THINK IT'S TRUE, PERSONALLY FOR ME.I HAVE TO CHOOSE BETWEEN IN-DEPTH STUDY ON AN INTERESTING TOPIC AND JUST REQUIRED STUDY SO THAT I CAN SCORE GOOD THAT'S WHY I AM DISSATISFIED EITHERWAYS",I THINK OFFLINE IS MUCH BETTER IN TERMS OF GAINING EXPERIENCE AND EXPOSURE.
148,149,M,20,A,A,A,A,D,N,D,A,D,N,SA,A,SD,D,SA,A,SA,N,A,N,SA,N,NOWHERE,90,90.0,90.0,90.0,90,90,COLLEGE,"YES, I AGREE. SOMETIMES I FEEL I AM NOT LIVING UPTO MY POTENTIAL AND OFTEN BEAT MYSELF UP FOR NOT DOING IT","YES.DURING LOCKDOWN, I HAD LOW LEVELS OF SELF ESTEEM DUE TO NOT PERTICULARLY EXCELLING IN COLLEGE AND OTHERWISE.BUT COMING TO CAMPUS AND MEETING NEW PEOPLE HAS MAKE ME SLIGHTLY MORE CONFIDENT IN MY ABILILTY."
149,150,M,19,N,N,D,A,A,N,A,A,D,SD,A,SA,N,N,A,SA,A,A,A,SA,N,A,WITH FRIENDS,90,60.0,100.0,50.0,90,50,ONLINE,,"YES, I THINK IT INCREASES THE CONFIDENCE TO OVERCOME STAGE FEAR."
150,151,M,19,N,A,SA,A,A,N,A,A,D,SA,A,A,A,SD,D,A,A,D,A,A,N,N,"HOME,WITH FRIENDS",90,80.0,95.0,80.0,60,,"WORK,ONLINE,NOWHERE","YES, AS A MAN, I FEEL THERE IS A LOT OF FEAR OF BEING UNSUCCESSFUL.HOWEVER IT IS NOT TRUE.BOTH MEN AND WOMEN HAVE EQUAL RESPECT AND SUCCESS SHOULD NOT BE MEASURED BY GENDER","YES,ISOLATING MYSELF FOR TWO YEARS IN HOME LED TO LOW CONFIDENCE AND LOW SELF ESTEEM.OFFLINE CLASSES ARE ENJOYABLE AND BOOSTS UP CONFIDENCE."
151,152,M,20,N,A,D,A,A,A,A,SA,D,A,SA,SA,A,D,A,N,SA,A,A,D,SA,SA,HOME,90,70.0,80.0,70.0,85,85,COLLEGE,I AGREE WITH STATEMENTS MADE ABOUT MEN AND WOMEN.THE ONLY VARIANCES I HAVE SEEN ARE THE PEOPLE I DONT KNOW VERY WELL.,YES
152,153,M,20,A,A,A,D,D,N,D,D,SD,N,A,A,D,SA,SD,A,D,D,A,D,D,SA,"COLLEGE,WITH FRIENDS",53,82.0,86.0,74.0,89,93,HOME,YES.ALTHOUGH I HAVE SEEN MANY CONFIDENT WOMEN AMONGST MY HOUSEHOLD AND AMONG MY FRIENDS.,"YES,AS THE INITIAL LOCKDOWN BROUGHT ABOUT MANY CHANGES IN LIFESTYLES AND ACADEMIC FUNCTIONALITY,IT ALSO BROUGHT ON CONFIDENCE ISSUES AMONG STUDENTS.AND THOSE WHO HAVE GOTTEN USED TO A PARTICULAR WAY OF WORKING MIGHT FACE CHALLENGES IN ANOTHER SUCH TRANSITION."
153,154,M,21,SA,A,SA,A,SA,A,A,SA,A,N,SA,SA,SD,A,SA,A,SA,D,A,D,N,A,"WITH FRIENDS,ONLINE",80,60.0,80.0,70.0,90,60,COLLEGE,"YES,I DO AGREE WITH THIS.NO ONE HAD TO SEE A VARIANCE BECAUSE EVERYONE IS GOING THROUGH THE SAME SHIT!",YES FOR SOME PEOPLE AND NO FOR SOME PEOPLE LIKE ME!
154,155,M,21,SD,A,SA,A,N,D,SA,SA,SD,SD,A,SA,N,N,A,D,D,SD,A,D,N,A,WITH FRIENDS,30,20.0,80.0,10.0,90,30,"COLLEGE,WORK","YES,I AGREE WITH THIS STATEMENT. IN MY CASE, I ALWAYS VALUE MY WORTH WHICH HOW MUCH I CAN PROVIDE","YES,THERE MAYBE  SHIFTSIN CONFIDENCELIKE FOR MANY.IT WAS EASIER FOR PEOPLE TO SPEAK UP ONLINE IN FRONT OF SO MANY EYES FIXATED ON YOU IN REAL LIFE."
155,156,M,21,A,SA,D,SD,SD,SA,A,D,N,N,A,N,SD,SD,SD,D,SA,N,N,N,A,SD,"HOME,WITH FRIENDS,ONLINE",95,20.0,65.0,20.0,75,90,NOWHERE,AGREED.VARIES BASED ON FINANCIAL SITUATION IN MY OPINION.,"DISAGEE.IF SOMEONE IS HAVING PROBLEMS AND NOT WILLING TO SEEK HELP,IN CAMPUS LITTLE WILL CHANGE."
156,157,M,20,A,N,N,N,A,A,N,A,N,D,N,N,D,D,D,A,A,N,N,N,N,D,HOME,100,,90.0,50.0,25,10,NOWHERE,"YES,I AGREE WITH THIS.SO TIME THERE ARE VARIANCES LIKE SOME MEN ALSO FOCUS ON SELF IMAGE.",IT HAVE HELPED ME TO OPEN UP LITTLE MORE THAN BEFORE.
157,158,M,20,A,A,N,SA,SA,N,N,A,SD,SD,D,A,N,D,SD,A,D,SD,N,A,D,D,HOME.WITH FRIENDS,100,70.0,80.0,60.0,60,50,NOWHERE,I AGREE WITH THIS BECAUSE THE FEAR OF LETTING OTHERS DOWN TENDS TO MAKE US UNDERPERFORM OR IN SOME SENSE MAKES US NOT WORK UPTO OUR POTENTIAL.,YES I AGREE WITH THIS BECAUSE DURING ONLINE MODE THERE IS VIRTUAL AUDIENCE AND THE ASPECT OF STAGE FEAR IS EMITTED BECAUSE WE HAVE TO ONLY SPEAK.BUT IN OFFLINE MODE WE HAVE TO PRESENT INFRONT OF EVERYONE WHICH MAY NOT BE COMFROTABLE WITH EVERYONE.
158,159,M,21,A,A,N,SA,SA,A,SA,SA,A,N,SA,SA,A,D,SA,A,N,D,N,A,N,D,"HOME,ONLINE",90,40.0,70.0,40.0,80,,"COLLEGE,WITH FRIENDS,WORK",,"YES,AS WE HAVE TO LEARN EVERYTHING.WE HAD THE HABIT OF REFERRING TO NOTES AND ANSWERING."
159,160,M,20,N,A,N,A,N,A,A,SA,N,A,A,SA,D,N,SA,N,N,D,N,D,A,N,"WITH FRIENDS,ONLINE",30,9.0,40.0,1.0,10,10,,BOTH GENDER FEEL BOTH TYPES OF DISSATISFACTION.LIFE IS TOUGH.,IT MIGHT BE BUT THE STRESS WOLD BE IMMENSE WITH THAT STRESS IT'S HARD TO THRIVE.END SEM ONLINE.
160,161,M,20,A,D,SD,SA,SA,A,SA,SD,D,A,D,SA,D,SD,SA,A,N,A,A,D,N,SD,"WITH FRIENDS,ONLINE",95,90.0,93.0,80.0,95,90,"COLLEGE,WORK","I DO AGREE, BECAUSE MEN ARE JUST ACCEPTED BY THEIR STATUS, SO THE FEAR PREVAILS.","YEAH I DO AGREE,BECAUSE INTROVERTS OR PEOPLE WHO WERE NOT SOCIAL FACED A LOT OF ISSUES BEING CAUGHT UP BEHIND THE 4 WALLS,AND CHANGE IS AN ISSUE FOR THESE PEOPLE."
161,162,M,20,D,SA,SA,N,A,A,SA,SA,D,SD,A,A,A,N,N,SA,A,D,A,A,A,A,"WITH FRIENDS,ONLINE",80,80.0,90.0,,70,100,NOWHERE,"YES,MEN HAVE FEAR OVER THERI COMMITMENTS,NOT BEING ABLE TO BE UPTO THE MARK,THEY SET FOR THEMSELVES",
162,163,M,20,D,N,A,A,N,A,A,A,SD,A,N,SA,D,N,SA,N,A,D,A,D,A,A,"HOME, WITH FRIENDS",80,60.0,75.0,55.0,60,35,WORK,"AGREE, THERE IS A HUGE FEAR OF BEING UNSUCCESSFUL IN MEN AND WOMEN","NO, CONFIDENCE LEVEL REMAINS THE SAME THOUGH NEED FOR MORE HARDWORK IS NEEDED"
163,164,M,20,N,A,A,A,N,A,A,A,D,D,A,D,D,D,D,A,A,A,A,A,N,N,"HOME, WITH FRIENDS",90,90.0,90.0,70.0,80,80,WORK,"NOT KNOWING MUCH ABOUT WOMEN IN THIS AREA, BUT AGREE WITH MEN'S PAST. I FEEL MEN DO FACE THIS AND ON DAILY BASIS AND FOR THIS IT BECOMES MOTIVATION ALSO",OFCOURSE SITTING AT HOME IN COMFORT HAS MADE US DO NOT AS MUCH HARD WORKAS WE CAN OR COVID WHILE BEING ON CAMPUS MY SCHEDULE AND EVERYTHING INCLUDING MY HEALTH HAS BEEN IN GOOD CONDITION
164,165,M,22,SA,D,D,A,A,D,D,A,A,A,D,D,N,D,SA,D,D,D,SA,A,D,D,"HOME, WITH FRIENDS, ONLINE",100,75.0,100.0,70.0,100,90,NOWHERE,"YES, I AGREE. HUMANS ARE SOCIAL BEINGS AS THEY ALWAYS TEND TO SEEK VALIDATION FROM SOCIETY",YES I FEEL LIKE ONLINE INTERACTIONS ARE MORE EASY FOR PEOPLE WITH LOW SELF CONFIDENCE AND IT HAS SEEMINGLY BOOSTED THEIR CONFIDENCE AND SELF ESTEEM LEVELS
165,166,M,20,N,D,D,N,N,D,N,A,D,N,N,A,D,N,SA,A,A,SD,A,N,N,A,"COLLEGE, WITH FRIENDS ",50,90.0,100.0,,,,"HOME, WORK","BOTH OF THESE ISSUES CAN BE OBSERVED IN BOTH MEN AND WOMEN. THE FEAR OF NOT BEING SUCCESSFUL IS CORRELATED WITH CONFIDENCE, IF YOU HAVE HIGH CONFIDENCE, THEN THAT FEAR REDUCES ","IT MIGHT LEAD TO HIGHER CONFIDENCE LEVELS AS IT ALLOWS YOU TO INTERACT WITH MAY MORE PEOPLE, ESPECIALLY FOR INTROVERTS "
166,167,M,20,SA,D,D,A,A,D,N,A,N,D,D,D,N,D,A,N,D,A,SA,A,D,D,"HOME, WITH FRIENDS, ONLINE",100,75.0,75.0,75.0,75,90,"ONLINE, NOWHERE","YES, I AGREE","YES, I AGREE IT WILL DEFINITELY HELP IN UPCHANGES IN CONFIDENCE LEVELS"
167,168,F,19,D,N,SD,N,N,A,N,A,D,SD,A,N,N,SA,SA,A,SA,N,N,N,A,SA,WITH FRIENDS,50,80.0,100.0,60.0,90,,"HOME, WORK",I ABSOLUTELY AGREE. I'M NEVER HAPPY WITH MYSELF MOST OF THE TIME AND FEAR I MAY DISSAPOINT SOMEONE,MY MENTAL HEALTH IS DEGRADING IN OFFLINE CLASSES AND I LOST MY SELF CONFIDENCE. IT IS VERY DIFFICULT TO COPE UP WITH ACADEMICS WHEN THE COLLEGE IS REOPENED MID SEMESTER
168,169,M,19,N,D,SD,A,A,D,D,A,D,D,N,N,D,D,D,N,SD,D,A,N,D,N,HOME,100,70.0,80.0,70.0,90,90,WORK,"YES, I FEEL THAT I MAY NOT BE UP TO THE MARK SOMETIMES","YES, OFFLINE INTERATION HAS OPENED MANY BARRIERS THAT WERE IN ONLINE  MODE"
169,170,M,20,D,A,D,N,N,A,D,N,D,SA,A,SA,A,N,D,SA,N,SD,A,A,D,A,"HOME, WITH FRIENDS",100,80.0,90.0,,85,80,"COLLEGE, ONLINE","YES, I AGREE","CONFIDENCE 100 % ALWAYS, BUT THERE IS ALWAYS A FLUCTUATION DEPENDIND ON SCENARIOS "
170,171,M,19,A,A,A,,SA,A,SA,N,A,N,SA,SA,N,SD,SA,A,D,N,A,SA,D,D,WITH FRIENDS,50,70.0,90.0,,30,,ONLINE,"YES, I AGREE WITH THIS","YES, ONLINE MODE MADE US LAZY AND WE STARTED TO CHOOSE SHORTCUTS FOR SUCCESS"
171,172,M,20,A,A,A,SD,N,N,A,SA,D,N,A,N,N,SD,SA,A,N,D,A,SD,A,SD,"HOME, COLLEGE, ONLINE ",90,85.0,32.0,0.0,100,99.99,"WITH FRIENDS, WORK ","I DO AGREE WITH THIS STATEMENT, SPECIALLY WHEN I SEE A LOT OF PEOPLE AND MY FRIENDS HANGIONG AROUND WITH GROUP HAVING MANY CONNECTIONS WHILE I AM MOSTLY ALONE I DOUBT MYSELF AND MY PERSONALITY. I FEEL THAT I AM NOT NORMAL OR I AM NOT A GOOD PERSON BECAUSE MY LIFESTYLE DOES NOT MATCH TO THAT OF THE OTHERS. ","YES, I STRONGLY BELIVE, I WILL CHANGE AND BECOME A BETTER PERSON, ECPOSURE TO REAL WORLD WILL DEFINITELY CHANGE MY PERSONALITY."
172,173,M,19,N,D,A,N,N,A,D,D,D,N,N,N,D,D,A,,N,SD,A,D,N,D,"HOME, COLLEGE, WITH FRIENDS, WORK ",70,80.0,85.0,75.0,30,0,HOME,,
173,174,M,19,D,SD,SD,A,SD,N,SD,SD,SD,SA,SA,SD,SD,SD,SA,SA,D,SD,SA,N,N,SD,"COLLEGE, WITH FRIENDS",80,100.0,100.0,,70,,NOWHERE,"NO, PEOPLE TELL ME TO GET A GOOD JOB AND I TELL THEM THAT I AM NOT INTERESTED","NO, OFCOURSE IT IS HARD, BUT IT IS NOT NEW TO US, HAVE BEEN DOING IT UNTIL 12TH"
